"08/10/2022, 16:40:11"
Dog,Male
"08/10/2022, 16:41:40"
Dog,Male
"08/10/2022, 16:55:59"
Dog,Male
"08/10/2022, 16:58:38"
Dog,Male
"08/10/2022, 17:02:44"
Cat,Female
"08/10/2022, 17:05:12"
Cat,Male
"08/10/2022, 17:10:37"
Dog,Male
"08/10/2022, 17:15:44"
Dog,Male
"08/10/2022, 17:19:20"
Dog,Male
"08/10/2022, 17:23:37"
Dog,Male
"08/10/2022, 17:26:00"
Dog,Male
"08/10/2022, 17:28:59"
Dog,Male
"08/10/2022, 17:29:05"
Cat,Male
"08/10/2022, 17:32:18"
Dog,Male
"08/10/2022, 17:33:54"
Dog,Male
"08/10/2022, 17:46:42"
Dog,Female
"08/10/2022, 17:50:17"
Dog,Female
"08/10/2022, 17:53:12"
Cat,Female
